ABE,DTW,93,313,1383
ABI,DFW,52,137,4455
ABQ,DEN,75,217,3202
ABQ,LAS,85,230,2517
ABR,MSP,70,255,1320
ABY,ATL,52,181,1730
ACK,BOS,46,169,232
ACT,DFW,44,139,3079
ACV,SFO,72,327,2535
ACY,MYR,82,224,650
ADK,ANC,175,485,177
ADQ,ANC,55,161,874
AEX,DFW,72,238,1882
AGS,ATL,54,139,4689
AKN,ANC,59,192,126
ALB,BWI,70,236,3319
ALO,ORD,70,306,1166
AMA,DFW,72,189,2240
ANC,CDV,47,193,654
ANC,DLG,64,256,154
ANC,OTZ,92,259,961
ANC,FAI,60,265,996
ANC,BET,72,342,1759
APN,DTW,64,200,1095
ASE,DEN,52,168,2045
ATL,GSO,75,202,5301
ATL,CSG,43,125,2119
ATL,MGM,54,163,4370
ATL,CHA,47,164,5401
ATL,DHN,57,173,2485
ATL,CAE,60,180,5347
ATL,MOB,74,185,4465
ATL,VLD,62,192,1846
ATL,TLH,63,197,4177
ATL,BHM,53,198,6385
ATL,DAB,79,201,2965
ATL,BNA,64,203,6411
ATL,SAV,63,216,6248
ATL,ECP,65,225,4020
ATL,GPT,77,226,2804
ATL,VPS,69,228,4376
ATL,TYS,55,230,3395
ATL,MLU,92,233,2370
ATL,GSP,54,241,4901
ATL,MCO,88,254,16292
ATL,HSV,54,267,4886
ATL,GNV,74,269,4137
ATL,AVL,56,279,3659
ATL,GTR,67,289,1824
ATL,BQK,65,307,1737
ATL,TRI,63,313,3818
ATL,FAY,78,321,3229
ATL,SRQ,90,343,3847
ATL,OAJ,85,397,2238
ATL,MLB,89,411,2649
ATL,EWN,88,417,1129
ATW,MSP,68,273,1023
AUS,HOU,48,166,2585
AVP,EWR,49,144,103
AZO,ORD,53,150,2495
BDL,BWI,67,207,4292
BFL,SFO,72,243,1285
BGM,DTW,83,330,517
BGR,DTW,125,341,621
BIL,DEN,88,258,2188
BIS,MSP,85,226,2976
BJI,MSP,61,152,1329
BLI,SEA,46,223,493
BMI,ORD,52,210,1796
BNA,CMH,70,186,1245
BNA,RSW,118,297,201
BOI,OAK,90,229,1314
BOI,GEG,59,172,1159
BOI,PDX,76,270,121
BOS,MVY,40,167,168
BPT,DFW,74,319,1820
BQN,MCO,161,637,880
BRD,INL,59,203,4
BRO,DFW,97,343,2005
BRW,FAI,81,312,322
BRW,SCC,48,175,813
BTM,SLC,78,328,1287
BTR,IAH,68,198,4539
BTV,LGA,74,218,88
BUF,BWI,66,222,3531
BUF,JFK,82,214,4796
BUR,LAS,59,148,6080
BUR,OAK,65,169,7249
BUR,SJC,60,191,4134
BWI,PIT,59,170,1872
BWI,PHL,56,181,14
BWI,ORF,53,191,2244
BWI,RDU,63,222,3820
BWI,ISP,65,235,2972
BWI,CHS,91,244,2000
BWI,DAY,81,244,1354
BZN,SLC,78,326,2113
CAK,DTW,55,160,377
CDC,SLC,58,167,1142
CDV,YAK,49,194,652
CEC,SFO,91,261,348
CHO,LGA,82,338,709
CID,MSP,70,202,1386
CID,MSN,49,186,1
CIU,DTW,76,361,1192
CLD,LAX,46,200,1254
CLE,DTW,51,130,1288
CLL,IAH,42,131,1364
CLT,PIT,86,215,4845
CLT,ILM,60,219,323
CLT,MYR,59,227,12
CLT,MDT,91,265,246
CMH,MDW,66,201,3566
CMI,ORD,56,268,3354
CMX,ORD,86,420,1234
CNY,SLC,54,137,410
COD,DEN,89,310,605
COS,DEN,44,154,4055
COU,ORD,78,326,1236
CPR,DEN,64,257,1864
CRP,IAH,62,156,4165
CRP,HOU,49,147,2468
CRW,MYR,70,214,128
CVG,ORD,77,198,7730
CVG,STL,75,191,97
CWA,MSP,61,193,50
DAL,SAT,59,175,6011
DAL,TUL,57,155,1852
DAL,ICT,70,175,1176
DAL,LIT,62,211,2009
DAL,MEM,80,257,922
DBQ,ORD,56,263,1736
DCA,EWR,73,192,2761
DCA,HPN,69,331,6
DEN,LBB,93,278,1172
DEN,LAR,48,158,1110
DEN,PUB,48,165,508
DEN,HDN,60,193,183
DEN,GUC,56,213,525
DEN,SLC,85,238,11938
DEN,DRO,68,242,1114
DEN,EGE,58,257,12
DEN,RAP,73,261,1127
DEN,HYS,71,284,1118
DEN,SAF,73,288,573
DEN,MTJ,60,295,886
DEN,JMS,109,308,777
DEN,GTF,114,322,1514
DEN,MOT,112,327,2004
DEN,HLN,112,338,656
DEN,DIK,100,437,655
DFW,IAH,69,181,7741
DFW,LAW,51,152,2474
DFW,SPS,49,155,2340
DFW,FSM,64,180,2491
DFW,LBB,70,184,1338
DFW,GGG,55,191,1229
DFW,SHV,62,195,4363
DFW,XNA,73,197,4280
DFW,TYR,50,203,3067
DFW,SJT,60,211,3103
DFW,GRK,51,223,5003
DFW,TXK,58,255,1833
DFW,ROW,90,284,1831
DFW,GCK,86,299,1272
DFW,GRI,106,308,1218
DFW,MHK,90,329,1898
DFW,MEI,98,332,892
DFW,JLN,80,397,1269
DLH,MSP,55,175,1213
DSM,ORD,78,271,6026
DTW,SBN,59,161,2571
DTW,FWA,55,147,1941
DTW,MBS,50,153,864
DTW,ERI,62,155,196
DTW,LAN,47,161,857
DTW,GRR,52,177,2726
DTW,ELM,76,192,2824
DTW,PIT,62,202,1054
DTW,IND,67,203,1473
DTW,TVC,62,205,1505
DTW,LEX,75,220,977
DTW,SWF,100,253,38
DTW,MQT,89,276,35
DTW,SCE,71,303,416
DTW,ESC,75,309,1105
DTW,PLN,70,338,1461
DTW,ITH,87,360,61
DVL,JMS,42,194,721
EAU,ORD,76,217,1270
EKO,SLC,55,210,1035
ELP,SAT,83,219,1587
EUG,SFO,93,233,3626
EVV,ORD,77,217,3300
EWR,PHL,61,185,2
EWR,ROC,75,198,1406
EWR,SYR,72,198,971
EYW,MIA,46,166,1070
FAR,MSP,63,270,3419
FAT,SAN,70,195,388
FCA,MSO,54,168,1
FLG,PHX,51,155,3217
FLL,TPA,56,165,3802
FLL,JAX,73,333,1447
FLL,STT,164,412,612
FNT,ORD,66,166,3539
FSD,MSP,62,242,2525
GCC,SLC,86,223,660
GFK,MSP,75,302,1427
GJT,SLC,63,207,1234
GRB,MSP,67,265,2099
GSO,IAD,68,201,120
GST,JNU,32,97,150
GUM,HNL,442,1448,662
HIB,INL,44,156,637
HNL,LIH,38,151,11695
HNL,ITO,53,149,9571
